name,long,lat
Ndirande,35.0506292882367,-15.7751478192376
Chimwankhunda,35.0148433,-15.8270523
Naizi,35.0881916,-15.8496159
Machinjiri,35.0810519006693,-15.7446647233049
South,35.056110506117,-15.7308852158985
Khama,35.0745535217875,-15.7677063561359
Nkolokoti,35.0763238,-15.7904719
Kachere,35.0841115,-15.8079213
Kachere,35.1053326,-15.7934343
Naizi,35.0823074,-15.8494749
Bangwe,35.084883,-15.8282683
Bangwe,35.088651,-15.8322942
Bangwe,35.0928606,-15.8318935
Bangwe,35.0902355,-15.8162941
Bangwe,35.0972343,-15.8090997
Limbe,35.0641464,-15.8129183
Limbe,35.0547397,-15.8209911
Limbe,35.04983,-15.8140027
Limbe,35.0589459,-15.8122795
Pafumbi,35.0565254,-15.8291657
Likotima,35.0567328954642,-15.8539394204848
I,35.0606009,-15.8204747
Chigumula,35.0517857,-15.8861397
Chigumula,35.0443875,-15.8874332
BCA,35.0630205,-15.8441823
BCA,35.0693501,-15.8444313
BCA,35.0648825,-15.8486964
Chigumula,35.0506559,-15.8929361
Ndirande,35.0477257151946,-15.7767658006899
Ndirande,35.0367990317374,-15.7768339217149
Kameza,35.0173168,-15.730363
Chirimba,35.0191982877375,-15.7446812271532
Chirimba,35.0220263,-15.7443242
Chiweto,35.0101770170634,-15.7467311027693
Chemusa,34.9993595083647,-15.7660058949426
Kayange,35.0026756404532,-15.7757495238887
Mbayani,35.0080465180437,-15.7759602587675
Mbwerela,34.9945281229115,-15.770725548667
Chilomoni,34.9817160109506,-15.7734439277705
Fargo,34.9831392,-15.7759035
Nthukwa,34.9799853598876,-15.7638099660559
Blantyre,35.0064061544609,-15.7886359879959
Mibawa,35.0089775,-15.7885589
Blantyre,35.0087927,-15.7944906
Malekano,34.9918790489655,-15.8102664651841
Manase,34.9933045260068,-15.8120182606814
Chilobwe,35.0057196720879,-15.8324505806528
Thawale,35.0117058,-15.8196523
Zingwangwa,35.0177456,-15.8164725
Zingwangwa,35.008295,-15.8154094
Soche,35.0153083280478,-15.8093981762749
Wenela,35.0157601973012,-15.7856834240139
Queens,35.0190521134966,-15.802852583209
